epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4635.49,1.17183,0.37838,0.00879,0.98286,0.932,0.96663,0.6213,1.24573,0.44825,0.00991,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4777.03,1.15665,0.38044,0.00888,0.98437,0.93844,0.96745,0.62403,1.25849,0.45367,0.01015,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4919.47,1.16617,0.39612,0.00855,0.98869,0.93674,0.96951,0.64464,1.24077,0.43582,0.01019,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5059.32,1.17341,0.39871,0.00868,0.98478,0.93413,0.96102,0.61966,1.29977,0.46177,0.0107,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5201.24,1.16213,0.38601,0.00857,0.97757,0.93387,0.95929,0.63476,1.2712,0.45341,0.01056,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5343.13,1.15761,0.38904,0.0085,0.98342,0.93955,0.9621,0.64071,1.24265,0.42737,0.01013,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5485.41,1.16167,0.38752,0.00863,0.97878,0.9452,0.96058,0.63138,1.28708,0.46571,0.01037,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5627.42,1.17148,0.38289,0.00849,0.98214,0.94551,0.96841,0.64296,1.23241,0.42438,0.01015,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5769.53,1.14167,0.37074,0.00859,0.98519,0.92981,0.96539,0.64159,1.25577,0.45148,0.0102,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5909.79,1.12863,0.36947,0.00868,0.98498,0.93898,0.96601,0.63579,1.2503,0.43958,0.00992,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6051.95,1.12455,0.36916,0.00824,0.98336,0.93566,0.96191,0.64634,1.21477,0.42108,0.0096,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6193.26,1.13789,0.36329,0.00818,0.97883,0.94551,0.96956,0.64913,1.23385,0.42234,0.00982,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6334.03,1.13603,0.36243,0.00832,0.97956,0.93753,0.96576,0.65121,1.20214,0.40633,0.00951,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6476.38,1.11425,0.35475,0.00798,0.98673,0.93666,0.962,0.64895,1.19273,0.40664,0.00977,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6618.1,1.1206,0.36129,0.00825,0.98298,0.94411,0.96336,0.65319,1.20071,0.40961,0.0095,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6760.05,1.10994,0.33921,0.008,0.97701,0.94877,0.96825,0.65456,1.19282,0.39558,0.00939,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6901.23,1.11469,0.35498,0.00812,0.98583,0.93952,0.96896,0.65553,1.17891,0.39223,0.00918,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
