epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,11077.7,1.56055,1.3249,0.01407,0.72204,0.68747,0.74904,0.42497,1.35895,1.07928,0.01561,0.0198671,0.00662235,0.0198671,0.00662235,0.0198671,0.00662235,0.0198671,0.00662235
31,11442.4,1.56493,1.30542,0.0138,0.74584,0.67438,0.7524,0.42476,1.36489,1.06043,0.01561,0.0195176,0.00650588,0.0195176,0.00650588,0.0195176,0.00650588,0.0195176,0.00650588
32,11807.2,1.56052,1.29374,0.01391,0.71843,0.69788,0.75743,0.43276,1.35777,1.05237,0.0156,0.0191682,0.00638941,0.0191682,0.00638941,0.0191682,0.00638941,0.0191682,0.00638941
33,12172.9,1.55185,1.27471,0.01348,0.75181,0.68458,0.76564,0.44192,1.32689,1.02249,0.01491,0.0188188,0.00627294,0.0188188,0.00627294,0.0188188,0.00627294,0.0188188,0.00627294
34,12538.6,1.53392,1.24961,0.01318,0.74976,0.69613,0.76454,0.44147,1.33983,0.99689,0.01533,0.0184694,0.00615647,0.0184694,0.00615647,0.0184694,0.00615647,0.0184694,0.00615647
35,12903.8,1.53977,1.24486,0.01324,0.74702,0.6974,0.77197,0.44381,1.3438,1.01745,0.01529,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
36,13271.1,1.50343,1.24896,0.0134,0.7472,0.69422,0.76345,0.44065,1.35044,0.99758,0.01533,0.0177706,0.00592353,0.0177706,0.00592353,0.0177706,0.00592353,0.0177706,0.00592353
37,13638.4,1.51887,1.20884,0.01322,0.74649,0.69754,0.76541,0.4438,1.34799,1.00594,0.01531,0.0174212,0.00580706,0.0174212,0.00580706,0.0174212,0.00580706,0.0174212,0.00580706
38,14005.1,1.50794,1.21619,0.01333,0.73788,0.71246,0.76749,0.44573,1.33483,1.01105,0.01495,0.0170718,0.00569059,0.0170718,0.00569059,0.0170718,0.00569059,0.0170718,0.00569059
39,14372.5,1.51336,1.21404,0.0135,0.74592,0.70489,0.77151,0.44958,1.32813,0.97834,0.01497,0.0167224,0.00557412,0.0167224,0.00557412,0.0167224,0.00557412,0.0167224,0.00557412
40,14739.8,1.49582,1.19422,0.01305,0.77596,0.69793,0.77702,0.45229,1.33515,0.96584,0.01494,0.0163729,0.00545765,0.0163729,0.00545765,0.0163729,0.00545765,0.0163729,0.00545765
41,15106.6,1.48435,1.17116,0.01285,0.77712,0.69352,0.77671,0.45138,1.32845,0.96925,0.01484,0.0160235,0.00534118,0.0160235,0.00534118,0.0160235,0.00534118,0.0160235,0.00534118
42,15472.9,1.49615,1.16064,0.01278,0.76878,0.71206,0.77969,0.45307,1.32926,0.967,0.01487,0.0156741,0.00522471,0.0156741,0.00522471,0.0156741,0.00522471,0.0156741,0.00522471
43,15839.6,1.48037,1.13867,0.01254,0.78485,0.70335,0.77951,0.45259,1.32629,0.97043,0.01487,0.0153247,0.00510824,0.0153247,0.00510824,0.0153247,0.00510824,0.0153247,0.00510824
44,16206.3,1.47217,1.1209,0.01261,0.7631,0.71193,0.7783,0.45386,1.33204,0.95572,0.01503,0.0149753,0.00499176,0.0149753,0.00499176,0.0149753,0.00499176,0.0149753,0.00499176
45,16573.5,1.45508,1.10144,0.01261,0.75861,0.71991,0.77912,0.45552,1.34118,0.938,0.01512,0.0146259,0.00487529,0.0146259,0.00487529,0.0146259,0.00487529,0.0146259,0.00487529
