epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13629.9,1.56859,1.30752,0.01391,0.77196,0.66312,0.75664,0.43226,1.3598,1.00209,0.01527,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14048.7,1.56399,1.31179,0.0136,0.73826,0.68983,0.75662,0.43122,1.35897,1.03178,0.01533,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14467.2,1.55882,1.27792,0.01351,0.76837,0.67784,0.76021,0.43847,1.35292,1.02331,0.01529,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14884.9,1.55541,1.26877,0.01331,0.75632,0.67972,0.76298,0.44094,1.34896,1.01139,0.01519,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15302.6,1.52612,1.26339,0.01352,0.75654,0.67885,0.7557,0.4356,1.34582,1.00042,0.01518,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15720.5,1.53749,1.24586,0.01334,0.7517,0.69053,0.76629,0.44393,1.33832,1.00637,0.01514,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16138.8,1.52386,1.24299,0.01349,0.7438,0.70366,0.76768,0.44477,1.33694,0.99362,0.01491,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16556.6,1.52845,1.23569,0.01355,0.74924,0.70434,0.77404,0.44912,1.35357,0.97389,0.01543,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,16975.4,1.51903,1.22573,0.01334,0.75693,0.70027,0.77245,0.45034,1.34451,0.96407,0.01506,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17393.4,1.51022,1.20644,0.01303,0.75195,0.71102,0.77869,0.45459,1.33765,0.95452,0.01495,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17810.6,1.51779,1.19888,0.01301,0.76388,0.69941,0.77471,0.45164,1.34281,0.96654,0.01504,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18225.8,1.50482,1.18958,0.01276,0.78437,0.68473,0.7773,0.4528,1.34696,0.94342,0.01506,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,18641,1.49788,1.16693,0.01288,0.75481,0.70789,0.77828,0.45574,1.34581,0.9431,0.01525,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19056,1.47691,1.14248,0.01283,0.77588,0.70352,0.7819,0.45873,1.3397,0.9475,0.01504,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19472,1.49188,1.14793,0.01303,0.76145,0.70888,0.77904,0.45833,1.34042,0.93377,0.015,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19886.7,1.4741,1.12994,0.01262,0.76253,0.71579,0.78188,0.45751,1.33428,0.94362,0.01485,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20303.7,1.47434,1.12905,0.01269,0.78783,0.70401,0.7848,0.46106,1.33908,0.92436,0.01514,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,20718.8,1.45753,1.09527,0.01285,0.77618,0.71514,0.78494,0.45992,1.34458,0.92241,0.01517,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21133.2,1.48131,1.10506,0.01242,0.76756,0.71785,0.78165,0.45966,1.34064,0.93078,0.01503,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21548.6,1.46022,1.09253,0.01254,0.77454,0.7108,0.77868,0.46166,1.33501,0.93855,0.01477,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21964.2,1.45653,1.0811,0.01222,0.77867,0.71247,0.7817,0.46428,1.33428,0.9251,0.01492,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22378.1,1.43573,1.10029,0.01228,0.77441,0.72061,0.78422,0.46524,1.32777,0.92424,0.01479,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22793.4,1.4535,1.05608,0.01195,0.77131,0.72657,0.78693,0.4669,1.33536,0.91914,0.01486,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23207.8,1.43733,1.05933,0.01212,0.76072,0.73399,0.78517,0.46343,1.34356,0.92247,0.01502,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23621.5,1.42999,1.03208,0.01209,0.77437,0.7262,0.78872,0.46543,1.33451,0.92986,0.01492,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,24035.8,1.41695,1.02333,0.01186,0.77737,0.71781,0.78482,0.46361,1.34088,0.92696,0.01496,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24450.1,1.43153,1.01868,0.01194,0.78079,0.72107,0.78708,0.46511,1.33966,0.92619,0.01497,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,24864.8,1.405,1.00593,0.01218,0.78897,0.71468,0.78752,0.46724,1.34059,0.9221,0.0149,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25279.7,1.39071,0.99623,0.01171,0.77237,0.73088,0.78822,0.46749,1.33518,0.92509,0.01484,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,25693.8,1.38513,0.98186,0.01183,0.78035,0.72789,0.7891,0.46731,1.33492,0.92316,0.01487,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26108.4,1.38743,0.98903,0.01157,0.78514,0.72218,0.78842,0.46731,1.33885,0.9139,0.01492,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26524.1,1.36088,0.94199,0.0113,0.79122,0.71437,0.78907,0.46813,1.33294,0.92224,0.01487,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,26938.3,1.3635,0.94965,0.01125,0.79474,0.71558,0.7895,0.46876,1.32782,0.9226,0.01481,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27353.1,1.36168,0.94679,0.01137,0.77841,0.72617,0.78887,0.46871,1.32393,0.93118,0.01472,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,27770.3,1.35813,0.94003,0.01135,0.78055,0.72669,0.78825,0.46934,1.32488,0.93285,0.01476,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28184.6,1.35608,0.9286,0.01127,0.77863,0.72959,0.79032,0.47045,1.32475,0.92899,0.01474,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28600.5,1.33572,0.90685,0.01091,0.78164,0.73115,0.78948,0.46982,1.3235,0.93387,0.0147,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29014.6,1.33576,0.90645,0.01092,0.79295,0.72478,0.78944,0.46973,1.3255,0.93308,0.01471,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29431.3,1.33262,0.88556,0.0108,0.8039,0.71879,0.78871,0.46923,1.32501,0.93524,0.0147,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,29847.7,1.31696,0.87224,0.01061,0.80282,0.71724,0.78873,0.46907,1.32456,0.93373,0.01471,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30263.4,1.30209,0.86731,0.01057,0.79561,0.7262,0.78837,0.46933,1.32234,0.93889,0.01469,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30678.8,1.31394,0.87095,0.01076,0.80142,0.72346,0.78897,0.4695,1.32488,0.93408,0.01472,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31094.8,1.30211,0.85613,0.01044,0.80185,0.72203,0.78866,0.4682,1.32423,0.93768,0.01472,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31511.1,1.28747,0.83812,0.01045,0.78855,0.73388,0.78934,0.46897,1.32403,0.94037,0.01472,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,31928.2,1.28321,0.83437,0.01057,0.79097,0.73258,0.78668,0.46871,1.32383,0.93968,0.01472,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32344.9,1.28176,0.82299,0.01022,0.79658,0.72944,0.78715,0.46875,1.32556,0.93668,0.01474,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,32768,1.27609,0.82006,0.01021,0.7978,0.73044,0.78879,0.46931,1.32965,0.93267,0.01481,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33194.1,1.26368,0.82444,0.01018,0.79858,0.73034,0.78812,0.46903,1.32993,0.93501,0.01482,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33615.8,1.23897,0.8043,0.00998,0.80036,0.73321,0.78922,0.46998,1.32864,0.93802,0.01477,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,34033,1.17127,0.54881,0.01022,0.80074,0.73146,0.78909,0.46944,1.33015,0.94268,0.01479,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34448.5,1.15142,0.52645,0.0099,0.79761,0.7337,0.78955,0.4698,1.33095,0.9452,0.01481,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,34864.7,1.14445,0.52936,0.00958,0.79955,0.73346,0.78997,0.46996,1.33187,0.94782,0.01481,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35280.8,1.12462,0.50342,0.00939,0.79154,0.73843,0.78697,0.46927,1.33192,0.94785,0.01479,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,35697.1,1.11435,0.49931,0.00909,0.79116,0.73775,0.78744,0.46923,1.33032,0.95318,0.01475,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36112.2,1.1041,0.49068,0.00921,0.79983,0.72918,0.78601,0.46851,1.3307,0.95395,0.01478,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36526.9,1.09022,0.47062,0.00884,0.80453,0.72761,0.78503,0.46866,1.32844,0.95598,0.01474,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,36941.3,1.08611,0.4787,0.00882,0.80311,0.72748,0.78422,0.46906,1.32987,0.95401,0.01474,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37354.8,1.06839,0.46254,0.00858,0.79919,0.73091,0.78345,0.46855,1.32901,0.9596,0.01474,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,37768.7,1.04808,0.45179,0.00841,0.79735,0.73424,0.78375,0.46869,1.3306,0.95991,0.01479,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,38182.8,1.03403,0.44653,0.00809,0.79901,0.73381,0.78313,0.46807,1.32918,0.96253,0.01476,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38596.6,1.02515,0.43127,0.00813,0.79683,0.73298,0.78238,0.46797,1.33073,0.96207,0.01476,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,39010,1.02313,0.42883,0.00806,0.79697,0.73118,0.78237,0.46745,1.33195,0.96273,0.01477,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,39423.8,1.02276,0.43013,0.00803,0.79226,0.73539,0.78137,0.46698,1.33338,0.96439,0.0148,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
