epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,177.503,0.59817,0.19388,0.00215,0.98921,0.97561,0.99407,0.82583,0.73701,0.21563,0.00237,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,182.702,0.5793,0.20487,0.00218,0.98963,0.97561,0.99407,0.82661,0.76419,0.22331,0.00242,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,188.005,0.6415,0.20864,0.00216,0.98902,0.97561,0.99407,0.83134,0.75711,0.22354,0.00241,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,193.258,0.63145,0.18531,0.00224,0.98891,0.97561,0.99407,0.82695,0.75062,0.22465,0.00241,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,198.495,0.61081,0.24174,0.00216,0.98862,0.97561,0.99407,0.82344,0.74894,0.22558,0.0024,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,203.79,0.67554,0.25876,0.00237,0.98887,0.97561,0.99407,0.82643,0.76049,0.22756,0.00241,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,209.203,0.63667,0.24303,0.00225,0.98904,0.97561,0.99407,0.82543,0.7683,0.22732,0.00244,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,214.412,0.59102,0.20938,0.00212,0.98855,0.97561,0.99407,0.82651,0.75835,0.22666,0.00242,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,219.694,0.58405,0.2016,0.00207,0.98804,0.97561,0.99407,0.82745,0.7623,0.22896,0.00244,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,225.035,0.58808,0.2325,0.0019,0.98811,0.97561,0.99407,0.82406,0.7548,0.22855,0.00242,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,230.236,0.60521,0.20515,0.00223,0.98797,0.97561,0.99407,0.82723,0.73952,0.22779,0.00239,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,238.652,0.56914,0.18055,0.0021,0.98774,0.97561,0.99407,0.82383,0.75636,0.23084,0.00243,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,244.219,0.62343,0.21419,0.00213,0.9873,0.97561,0.99407,0.82396,0.77944,0.23133,0.00249,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
